index;Tex_all;Tex_det;Tex_det_err;Dist_mean_pc;Col_all;Col_det;Col_det_err;Tex_ave_ring;Tex_ave_ring_err;Col_ave_ring;Col_ave_ring_err;Tex_SM_ave_ring;Tex_SM_ave_ring_err;Col_SM_ave_ring;Col_SM_ave_ring_err;px_count;dist_ring_pc
0.05;750.9387;750.9387;90.0;0.0;16.2062;16.2062;14.8251;792.8998;120.0;16.2062;14.8251;750.9387;55.286793;16.2062;14.8251;1.0;0.05
0.15;666.8767;656.3714793358212;55.0586425860935;0.14337922649999998;16.2776625;16.277590945399;0.03835377739646274;749.04486;30.242432;16.372243;14.784681;611.42053;33.956306;16.372243;14.784681;8.0;0.15
0.25;523.45565;517.2338015249943;65.86473075371926;0.2562517976666667;16.326608333333333;16.32655564403376;0.06210759648252271;533.0277;14.564088;16.402992;14.700161;555.4849;24.707762;16.402992;14.700161;12.0;0.25
0.35;428.42190625;431.7953823016647;79.44764431940962;0.3608805055;16.30315;16.303342099788548;0.11195197522541633;518.2541;11.486844;16.387295;14.583663;504.9208;25.675034;16.387295;14.583663;16.0;0.35
0.45;395.33156499999996;404.4178299842033;111.28919811385514;0.4622249901999999;16.163469999999997;16.16229500424738;0.18109862774353655;447.81137;12.255432;16.27991;14.561722;419.826;37.0437;16.21133;14.561722;20.0;0.45
0.55;374.3583708333333;380.82477453303085;106.61857341208255;0.5580033438333333;15.928916666666666;15.92835112782099;0.20279303762925854;371.8164;14.831857;16.121315;14.6693945;383.873;35.112;16.040031;14.6693945;24.0;0.55
0.65;285.304;306.25597773126043;95.59814005749111;0.6496736885714285;15.758367857142858;15.802868761399978;0.190093341710173;350.99625;9.09221;15.908402;14.184642;357.319;33.753;15.916852;14.184642;28.0;0.65
0.75;218.53305277777778;233.53313937802855;84.04678457341419;0.7527606906666666;15.598661111111113;15.657959854609624;0.15378852493489803;260.65103;8.833505;15.701474;14.089875;279.8107;30.169988;15.705764;14.144581;36.0;0.75
0.85;188.251640625;202.1051913152888;51.84008810882186;0.8492066601249999;15.457471875;15.52867885242774;0.11523658609499197;203.44458;9.69985;15.569924;14.066254;227.76088;20.776796;15.5818205;14.105649;32.0;0.85
0.95;162.10654318181818;175.96458130877062;53.737857186425884;0.9458444792727273;15.287949999999997;15.487742860352972;0.12604322337492543;149.13416;-10.0;15.453155;13.990188;213.71397;22.269746;15.460145;14.0542555;44.0;0.95
1.05;161.06464107142855;179.34958612982874;47.42223904790986;1.057605530857143;15.168708928571428;15.40030979895751;0.08520920652937657;167.22037;-10.0;15.235281;13.93176;185.8538;-10.0;15.230821;13.960091;56.0;1.05
1.15;150.21551250000002;149.41969536809228;43.35785491034561;1.1634287020833334;15.116754166666666;15.382930324092221;0.07621235490548153;173.17117;-10.0;15.1298485;13.903576;185.8538;-10.0;15.134985;13.933129;48.0;1.15
1.25;154.49001458333333;149.44945574258944;49.912314964423125;1.2501733779999997;15.101577083333334;15.34614399759229;0.11526059199065909;163.381;-10.0;15.108111;13.914001;185.8538;-10.0;15.108111;13.914001;48.0;1.25
1.35;158.203009375;183.18371700489175;26.85743008872288;1.3471497086875002;15.073825;15.283531558999934;0.11598010286297183;167.78531;-10.0;15.071222;13.898539;185.8538;-10.0;15.071222;13.898539;64.0;1.35
1.45;154.18392499999996;166.64242798023167;64.6582325913765;1.4481184373333333;15.088156666666668;15.297759463577037;0.14647152027886262;146.7;-10.0;15.051967;13.878314;185.8538;-10.0;15.051967;13.878314;60.0;1.45
