X,Y
0,-0.00011957
1,-0.00008167
2,-0.00004075
3,-0.00000636
4,0.00002437
5,0.00005739
6,0.00009694
7,0.00013436
8,0.00016305
9,0.00019137
10,0.00021706
11,0.00023976
12,0.00026601
13,0.00030266
14,0.00035770
15,0.00045566
16,0.00060312
17,0.00080372
18,0.00109940
19,0.00156067
20,0.00227008
21,0.00329109
22,0.00467522
23,0.00625803
24,0.00774626
25,0.00882256
26,0.00929284
27,0.00904126
28,0.00811955
29,0.00680351
30,0.00534706
31,0.00403959
32,0.00297078
33,0.00218009
34,0.00162448
35,0.00125765
36,0.00102952
37,0.00088358
38,0.00077060
39,0.00067293
40,0.00058162
41,0.00049584
42,0.00043067
43,0.00037848
44,0.00032281
45,0.00027025
46,0.00023451
47,0.00020620
48,0.00018482
49,0.00016559
50,0.00014687
51,0.00013067
