X,Y
0,-0.0052742
1,-0.0088084
2,-0.0095539
3,-0.0059045
4,-0.0030721
5,-0.0053567
6,-0.0038854
7,-0.0029014
8,-0.0016967
9,0.0015518
10,0.0040847
11,0.0004681
12,-0.0010335
13,0.0070691
14,0.0192751
15,0.0254495
16,0.0275882
17,0.0281560
18,0.0237037
19,0.0082002
20,-0.0159755
21,-0.0206839
22,0.0083838
23,0.0469440
24,0.0671611
25,0.0580027
26,0.0375138
27,0.0238754
28,0.0120051
29,0.0007439
30,-0.0003971
31,0.0068019
32,0.0096794
33,0.0064337
34,0.0007841
35,-0.0049619
36,-0.0060163
37,-0.0018337
38,-0.0002541
39,0.0031351
40,0.0047575
41,0.0048073
