Index,tag,Frequency,err,LgInt,dr,ELO,gup,qn1,qn2,qn3,qn4,qn5,qn6,qnn1,qnn2,qnn3,qnn4,qnn5,qnn6,Formula,qnfmt,qlog300,qlog225,qlog150,qlog75,qlog37,qlog18,qlog9,Transition,CHECK,Source,delta x,delta y,C,Area,delta Area,Width,delta Width,Velocity,delta Velocity,Intensity,delta Intensity,Continuum,delta Continuum,Cont.Size,Fraction,SourceSize,delta SourceSize,Telescope,N/EM,delta N/EM,Tex/Te,delta Tex/Te,Tbg,tau/taul,delta tau/taul,Filtered
1,51520,235391.9144,0.0121,-5.9767,2,2372.1512,53,26,,,,,,25,,,,,,"HC3N,v2=1",101,3.1383,3.0133,2.8373,2.5364,2.2358,1.9356,1.6363,26-25,true,,0.0,0.0,1,5.020222434858449E-7,,43.713116,,250.0,,1.0788944490444628E-8,,0.0,0.0,0.0,,0.0,-1.0,0.02x0.022,12.713566,,1172.0,,0.0,4.702117973001302E-7,0.0,true
2,51519,235789.4262,0.2093,-5.5701,2,2177.6278,53,26,,,,,,25,,,,,,"HC3N,v3=1",101,3.1383,3.0133,2.8373,2.5364,2.2358,1.9356,1.6363,26-25,true,,0.0,0.0,1,6.384921848161841E-7,,43.713116,,250.0,,1.3721815467512805E-8,,0.0,0.0,0.0,,0.0,-1.0,0.02x0.021,12.713566,,1172.0,,0.0,5.980387591217269E-7,0.0,true
3,51506,236184.06,0.03,-3.042,2,964.2095,53,26,,,,,,25,,,,,,"HC3N,v4=1",101,3.1383,3.0133,2.8373,2.5364,2.2358,1.9356,1.6363,26-25,true,,0.0,0.0,1,2.8325151795724017E-6,,43.713116,,250.0,,6.087347207822816E-8,,0.0,0.0,0.0,,0.0,-1.0,0.02x0.021,12.713566,,1172.0,,0.0,2.6530744522374E-6,0.0,true
4,51509,218487.2251,0.0085,-4.0643,3,1407.727,49,24,0,1,,,,23,0,1,,,,"HC3N,v4=1,v7=2/v5=2^0",1303,3.1383,3.0133,2.8373,2.5364,2.2358,1.9356,1.6363,"24,0,1-23,0,1",true,,0.0,0.0,1,1.6569874903055673E-6,,43.713116,,250.0,,3.561026137778273E-8,,0.0,0.0,0.0,,0.0,-1.0,0.022x0.02,12.713566,,1172.0,,0.0,1.324687217073891E-6,0.0,true
5,51509,219485.4171,0.0155,-4.0548,3,1405.0458,49,24,0,0,,,,23,0,0,,,,"HC3N,v4=1,v7=2/v5=2^0",1303,3.1383,3.0133,2.8373,2.5364,2.2358,1.9356,1.6363,"24,0,0-23,0,0",true,,0.0,0.0,1,1.6699464758489178E-6,,43.713116,,250.0,,3.5888762418103736E-8,,0.0,0.0,0.0,,0.0,-1.0,0.022x0.02,12.713566,,1172.0,,0.0,1.3350712190790259E-6,0.0,true
6,51509,219500.9999,0.0095,-4.0628,3,1407.51,49,24,-2,0,,,,23,2,0,,,,"HC3N,v4=1,v7=2/v5=2^0",1303,3.1383,3.0133,2.8373,2.5364,2.2358,1.9356,1.6363,"24,-2,0-23,2,0",true,,0.0,0.0,1,1.653829167308746E-6,,43.713116,,250.0,,3.554238597933363E-8,,0.0,0.0,0.0,,0.0,-1.0,0.022x0.02,12.713566,,1172.0,,0.0,1.3221862253798626E-6,0.0,true
7,51509,219534.6086,0.0097,-4.0627,3,1407.5164,49,24,2,0,,,,23,-2,0,,,,"HC3N,v4=1,v7=2/v5=2^0",1303,3.1383,3.0133,2.8373,2.5364,2.2358,1.9356,1.6363,"24,2,0-23,-2,0",true,,0.0,0.0,1,1.6539968341796158E-6,,43.713116,,250.0,,3.554598930096894E-8,,0.0,0.0,0.0,,0.0,-1.0,0.022x0.02,12.713566,,1172.0,,0.0,1.3223210659876776E-6,0.0,true
8,51509,236692.31,0.03,-3.9918,3,1422.6065,53,26,0,1,,,,25,0,1,,,,"HC3N,v4=1,v7=2/v5=2^0",1303,3.1383,3.0133,2.8373,2.5364,2.2358,1.9356,1.6363,"26,0,1-25,0,1",true,,0.0,0.0,1,1.649369465033793E-6,,43.713116,,250.0,,3.544654137456975E-8,,0.0,0.0,0.0,,0.0,-1.0,0.02x0.022,12.713566,,1172.0,,0.0,1.5253871057665686E-6,0.0,true
9,51509,237760.0484,0.0139,-3.9823,3,1419.9931,53,26,0,0,,,,25,0,0,,,,"HC3N,v4=1,v7=2/v5=2^0",1303,3.1383,3.0133,2.8373,2.5364,2.2358,1.9356,1.6363,"26,0,0-25,0,0",true,,0.0,0.0,1,1.662770073855564E-6,,43.713116,,250.0,,3.573453330603732E-8,,0.0,0.0,0.0,,0.0,-1.0,0.02x0.022,12.713566,,1172.0,,0.0,1.5378107107594684E-6,0.0,true
10,51509,237784.0909,0.009,-3.9899,3,1422.4585,53,26,-2,0,,,,25,2,0,,,,"HC3N,v4=1,v7=2/v5=2^0",1303,3.1383,3.0133,2.8373,2.5364,2.2358,1.9356,1.6363,"26,-2,0-25,2,0",true,,0.0,0.0,1,1.648197338410384E-6,,43.713116,,250.0,,3.542135124439352E-8,,0.0,0.0,0.0,,0.0,-1.0,0.02x0.022,12.713566,,1172.0,,0.0,1.5243337690748258E-6,0.0,true
